player,starting,substitution
Ivica Ivusic,36,0
Mirko Maric,34,1
Ante Majstorovic,33,0
Mile Skoric,31,0
Antonio Mance,24,6
Mihael Zaper,29,1
Talys,26,5
Marin Pilj,19,8
Dmytro Lopa,16,11
Igor Silva,24,3
Merveil Ndockyt,14,13
Laszlo Kleinheisler,22,2
Petar Bockaj,22,2
Bosko Sutalo,16,0
Josip Spoljaric,3,16
Danijel Loncar,10,6
Vedran Jugovic,9,5
Jerry Mbakogu,1,6
Tomislav Sorsa,8,0
Eros Grezda,6,1
Gutieri Tomelin,4,4
Benedik Mioc,1,3
Dion Drena Beljo,0,6
Marko Dugandzic,1,2
Todor Todoroski,3,1
Karlo Kamenar,1,1
Alen Grgic,1,2
Luka Marin,1,0
Andrej Simunec,1,0
Mikhail Kajmakov,0,1
